;Datos;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;-1998;-1999;-2000;-2001;-2002;-2003;-2004;-2005;-2006;-2007;-2008;-2009;-2010;-2011;-2012;-2013;-2014;-2015;-2016;-2017;-2018;-2019;-2020;-2021;-2022;-2023;-2024
Arabia Saudita;29,509;28,542;27,49;25,528;23,767;22,302;21,274;21,062;21,35;21,73;21,314;20,802;20,127;20,324;20,387;19,712;19,822;19,405;19,553;19,824;19,739;18,075;16,628;15,902;15,217;16,415;16,495
Australia;13,3;13,1;13;12,7;12,8;12,6;12,3;12,8;12,9;14,1;14;13,9;13,7;13,6;13,7;13,3;13,2;12,9;12,9;12,6;12,6;12,1;11,5;12,1;11,6;10,8;10,7
Estados Unidos;14,3;14,2;14,4;14,1;14;14,1;14;14;14,3;14,3;14;13,5;13;12,7;12,6;12,4;12,5;12,4;12,2;11,8;11,6;11,4;10,9;11;11;10,7;10,6
Francia;12,8;12,9;13,3;13,1;12,9;12,8;12,8;12,8;13,1;12,8;12,9;12,8;12,9;12,7;12,6;12,4;12,4;12;11,8;11,5;11,3;11,2;10,9;10,9;10,7;9,9;9,7
Irán, República Islámica del;16,207;16,07;15,966;15,935;15,947;15,878;16,176;16,385;16,725;16,971;17,095;17,157;17,276;17,673;18,138;18,531;18,828;18,879;18,787;18,045;16,664;14,918;14,008;13,687;13,314;12,951;12,571
Israel;21,9;21,5;21,7;21,2;21,2;21,7;21,3;20,8;21;21,1;21,5;21,5;21,8;21,4;21,6;21,3;21,5;21,3;21,2;21,1;20,8;20,1;19,2;19,7;19;18,6;18,6
Jordania;31,059;29,956;29,054;28,516;28,479;28,475;27,743;27,156;26,457;28,189;28,707;28,568;28,07;27,398;26,895;24,926;24,324;23,653;23,748;23,217;22,677;22,236;21,726;21,309;20,922;20,611;20,452
Líbano;21,835;21,619;21,306;21,056;20,624;20,002;19,347;18,668;18,27;17,945;17,793;17,99;18,605;19,033;18,962;18,016;18,812;19,555;19,197;18,648;18,09;17,622;16,912;16,573;16,372;16,144;15,958
México;25,117;24,64;24,192;23,779;23,379;22,832;22,369;21,912;21,482;21,11;20,82;20,567;20,331;20,095;19,855;19,557;18,959;18,227;17,69;17,214;17,037;16,877;16,565;16,353;16,041;15,706;15,464
Noruega;13,2;13,3;13,2;12,6;12,2;12,4;12,4;12,3;12,6;12,4;12,7;12,8;12,6;12,2;12;11,6;11,5;11,3;11,2;10,7;10,4;10,2;9,8;10,4;9,4;9,4;9,7
República Árabe Siria;31,952;31,548;31,204;30,744;30,133;29,577;29,117;28,828;28,273;29,074;30,464;29,249;28,673;28,11;27,722;26,868;23,784;21,298;19,619;19,585;18,932;19,717;20,64;21,172;21,234;22,107;23,162
Ribera Occidental y Gaza;42,1;41,4;40,9;40,2;39,6;38,8;38,1;37,3;36,7;35,855;33,887;34,019;34,543;34,083;33,371;32,9;32,782;32,87;32,274;31,432;30,529;29,708;28,877;28,225;27,575;27,062;26,465
