Attack ID;Source 1;Report number;Source 2;Type of attack;Category;Hospital name;Governorate;Date;Month-year;Year-month;Month;Year; Killed staff FU ; Killed staff II ; Killed patients FU ; Killed patients II ; Killed individuals FU ; Killed individuals II ; Detained staff FU ; Detained staff II ; Detained patients FU ; Detained patients II ; Detained individuals FU ; Detained individuals II ; Injured staff FU ; Injured staff II ; Injured patients FU ; Injured patients II ; Injured individuals FU ; Injured individuals II ;Closure;Reopening;Comments
1;Flash Update;1;No;Airstrike;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;07-10-2023;oct-23;2023-10;10;2023;1;2; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;5; -   ;;;Insecurity Insight: an unspecified number of injured staff
2;Flash Update;3;Insecurity Insight;Airstrike;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;08-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
3;Flash Update;3;Insecurity Insight;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;08-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
4;Flash Update;4;Insecurity Insight;Inaccessible due to insecurity;Obstruction to healthcare delivery;Beit Hanoun Hospital;Gaza North;09-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
5;Flash Update;4;Insecurity Insight;Airstrike;Violence with heavy weapons, fire or chemical agent;Beit Hanoun Hospital;Gaza North;09-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;09-10-2023;23-04-2025;
6;Insecurity Insight;NA;No;Airstrike;Violence with heavy weapons, fire or chemical agent;Internation Eye Hospital;Gaza City;09-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;13-11-2023;;
7;Insecurity Insight;NA;No;Shelling;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;09-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
8;Flash Update;8;Insecurity Insight;Chemical agent;Violence with heavy weapons, fire or chemical agent;Mohamed Al Durrah Hospital;Gaza City;13-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;13-10-2023;01-04-2025;
9;Insecurity Insight;NA;No;Shelling;Violence with heavy weapons, fire or chemical agent;Mohamed Al Durrah Hospital;Gaza City;13-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
10;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Al Awda Hospital-North;Gaza North;13-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
11;Insecurity Insight;NA;No;Shelling;Violence with heavy weapons, fire or chemical agent;Jordanian field Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;14-10-2023;;
12;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Al Quds Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
13;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
14;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
15;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Mohamed Al Durrah Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
16;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Wafa Geriatric Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;13-11-2023;30-05-2025;
17;Insecurity Insight;NA;No;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Najjar Hospital;Rafah;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;14-10-2023;22-11-2023;
18;Insecurity Insight;NA;No;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
19;Insecurity Insight;NA;No;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Ahli Arab Hospital;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ;471;471; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4;;;
20;Flash Update;8;No;Not specified;Violence with heavy weapons, fire or chemical agent;Sheik Hamad Hospital for Rehabilitation and Prosthetics;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;14-10-2023;17-03-2025;
21;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
22;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
23;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
24;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;17-10-2023;;
25;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
26;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
27;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
28;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
29;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
30;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
31;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
32;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
33;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
34;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
