Attack ID;Type of attack;Category;Hospital name;Governorate;Date;Closure;Reopening
1;Airstrike;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;07-10-2023;;
2;Airstrike;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;08-10-2023;;
3;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;08-10-2023;;
4;Inaccessible due to insecurity;Obstruction to healthcare delivery;Beit Hanoun Hospital;Gaza North;09-10-2023;;
5;Airstrike;Violence with heavy weapons, fire or chemical agent;Beit Hanoun Hospital;Gaza North;09-10-2023;09-10-2023;23-04-2025
6;Airstrike;Violence with heavy weapons, fire or chemical agent;Internation Eye Hospital;Gaza City;09-10-2023;13-11-2023;
7;Shelling;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;09-10-2023;;
8;Chemical agent;Violence with heavy weapons, fire or chemical agent;Mohamed Al Durrah Hospital;Gaza City;13-10-2023;13-10-2023;01-04-2025
9;Shelling;Violence with heavy weapons, fire or chemical agent;Mohamed Al Durrah Hospital;Gaza City;13-10-2023;;
10;Order of evacuation;Evacuation order;Al Awda Hospital-North;Gaza North;13-10-2023;;
11;Shelling;Violence with heavy weapons, fire or chemical agent;Jordanian field Hospital;Gaza City;14-10-2023;14-10-2023;
12;Order of evacuation;Evacuation order;Al Quds Hospital;Gaza City;14-10-2023;;
13;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;14-10-2023;;
14;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;14-10-2023;;
15;Order of evacuation;Evacuation order;Mohamed Al Durrah Hospital;Gaza City;14-10-2023;;
16;Order of evacuation;Evacuation order;Wafa Geriatric Hospital;Gaza City;14-10-2023;13-11-2023;30-05-2025
17;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Najjar Hospital;Rafah;14-10-2023;14-10-2023;22-11-2023
18;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;14-10-2023;;
19;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Ahli Arab Hospital;Gaza City;14-10-2023;;
20;Not specified;Violence with heavy weapons, fire or chemical agent;Sheik Hamad Hospital for Rehabilitation and Prosthetics;Gaza City;14-10-2023;14-10-2023;17-03-2025
21;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;;
22;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;;
23;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;;
24;Order of evacuation;Evacuation order;Not specified;Gaza North;14-10-2023;17-10-2023;
25;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
26;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
27;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
28;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
29;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
30;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
31;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
32;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
33;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
34;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
35;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
36;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
37;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
38;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;;
39;Threat;Violence against individuals;Kuwait Hospital;Rafah;15-10-2023;;
40;Order of evacuation;Evacuation order;Kuwait Hospital;Rafah;15-10-2023;;
41;Lack of fuel;Obstruction to healthcare delivery;Turkish Friendship Hospital;Gaza City;17-10-2023;;
42;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Karama Specialized Hospital;Gaza North;17-10-2023;17-10-2023;
43;Bomb;Violence with heavy weapons, fire or chemical agent;Al Ahli Arab Hospital;Gaza City;17-10-2023;;
44;Threat;Violence against individuals;Al Aqsa Hospital;Deir al Balah;17-10-2023;;
45;Lack of fuel/medical supply;Obstruction to healthcare delivery;Al Shifa Medical Hospital;Gaza City;17-10-2023;;
46;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;18-10-2023;;
47;Threat;Violence against individuals;Al Quds Hospital;Gaza City;20-10-2023;;
48;Order of evacuation;Evacuation order;Indonesian Hospital;Gaza North;21-10-2023;;
49;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;21-10-2023;;
50;Order of evacuation;Evacuation order;Al Awda Hospital-North;Gaza North;21-10-2023;;
51;Order of evacuation;Evacuation order;Al Sahaba Hospital;Gaza City;21-10-2023;13-11-2023;27-11-2023
52;Order of evacuation;Evacuation order;Al Ahli Arab Hospital;Gaza City;21-10-2023;;
53;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;21-10-2023;;
54;Order of evacuation;Evacuation order;Psychiatric Hospital;Gaza City;21-10-2023;;
55;Order of evacuation;Evacuation order;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;21-10-2023;;
56;Order of evacuation;Evacuation order;Al-Rantisi Specialized Hospital;Gaza City;21-10-2023;;
57;Order of evacuation;Evacuation order;Al Quds Hospital;Gaza City;21-10-2023;;
58;Order of evacuation;Evacuation order;Turkish Friendship Hospital;Gaza City;21-10-2023;;
59;Order of evacuation;Evacuation order;Ophtalmic Hospital;Gaza City;21-10-2023;;
60;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;;
61;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;;
62;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;;
63;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;;
64;Order of evacuation;Evacuation order;Not specified;Gaza City;21-10-2023;;
65;Order of evacuation;Evacuation order;Not specified;Rafah;21-10-2023;;
66;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;22-10-2023;;
67;Lack of fuel;Obstruction to healthcare delivery;Indonesian Hospital;Gaza North;24-10-2023;;
68;Lack of fuel/medical supply;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;29-10-2023;;
69;Threat;Violence against individuals;Al Quds Hospital;Gaza City;29-10-2023;;
70;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;29-10-2023;;
71;Order of evacuation;Evacuation order;Indonesian Hospital;Gaza North;29-10-2023;;
72;Shelling;Violence with heavy weapons, fire or chemical agent;Turkish Friendship Hospital;Gaza City;30-10-2023;;
73;Order of evacuation;Evacuation order;Al Quds Hospital;Gaza City;30-10-2023;;
74;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;30-10-2023;;
75;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;30-10-2023;;
76;Order of evacuation;Evacuation order;Al Awda Hospital-North;Gaza North;30-10-2023;;
77;Order of evacuation;Evacuation order;Al Sahaba Hospital;Gaza City;30-10-2023;;
78;Order of evacuation;Evacuation order;Al Ahli Arab Hospital;Gaza City;30-10-2023;;
79;Order of evacuation;Evacuation order;Psychiatric Hospital;Gaza City;30-10-2023;;
80;Order of evacuation;Evacuation order;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;30-10-2023;;
81;Order of evacuation;Evacuation order;Turkish Friendship Hospital;Gaza City;30-10-2023;;
82;Order of evacuation;Evacuation order;Not specified;Gaza City;30-10-2023;;
83;Order of evacuation;Evacuation order;Not specified;Gaza City;30-10-2023;;
84;Order of evacuation;Evacuation order;Not specified;Gaza City;30-10-2023;;
85;Shelling;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;30-10-2023;;
86;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;30-10-2023;;
87;Shelling;Violence with heavy weapons, fire or chemical agent;Turkish Friendship Hospital;Gaza City;30-10-2023;;
88;Airstrike;Violence with heavy weapons, fire or chemical agent;Turkish Friendship Hospital;Gaza City;31-10-2023;;
89;Delivery impossible due to insecurity;Obstruction to healthcare delivery;Al Aqsa Hospital;Deir al Balah;31-10-2023;;
90;Delivery impossible due to insecurity;Obstruction to healthcare delivery;Al Shifa Medical Hospital;Gaza City;31-10-2023;;
91;Bomb;Violence with heavy weapons, fire or chemical agent;Ophtalmic Hospital;Gaza City;01-11-2023;;
92;Shelling;Violence with heavy weapons, fire or chemical agent;Al Helou International Hospital;Gaza City;01-11-2023;13-11-2023;
93;Airstrike;Violence with heavy weapons, fire or chemical agent;Turkish Friendship Hospital;Gaza City;01-11-2023;01-11-2023;
94;Lack of fuel;Obstruction to healthcare delivery;Turkish Friendship Hospital;Gaza City;01-11-2023;;
95;Lack of fuel;Obstruction to healthcare delivery;Indonesian Hospital;Gaza North;02-11-2023;;
96;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;03-11-2023;;
97;Airstrike;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;03-11-2023;;
98;Airstrike;Violence with heavy weapons, fire or chemical agent;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;04-11-2023;;
99;Bomb;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;04-11-2023;;
100;Artillery;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;05-11-2023;;
101;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;05-11-2023;12-11-2023;21-03-2025
102;Airstrike;Violence with heavy weapons, fire or chemical agent;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;05-11-2023;;
103;Airstrike;Violence with heavy weapons, fire or chemical agent;Psychiatric Hospital;Gaza City;05-11-2023;05-11-2023;
104;Strike;Violence with heavy weapons, fire or chemical agent;Ophtalmic Hospital;Gaza City;05-11-2023;;
105;Threat;Violence against individuals;Al-Rantisi Specialized Hospital;Gaza City;05-11-2023;;
106;Order of evacuation;Evacuation order;Al-Rantisi Specialized Hospital;Gaza City;05-11-2023;;
107;Airstrike;Violence with heavy weapons, fire or chemical agent;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;06-11-2023;;
108;Airstrike;Violence with heavy weapons, fire or chemical agent;Not specified;Gaza City;06-11-2023;;
109;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;06-11-2023;;
110;Military base;Siege, occupation of the facility or use as a military base;Sheik Hamad Hospital for Rehabilitation and Prosthetics;Gaza City;06-11-2023;;
111;Lack of fuel;Obstruction to healthcare delivery;Indonesian Hospital;Gaza North;06-11-2023;;
112;Strike;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;07-11-2023;;
113;Strike;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;07-11-2023;13-11-2023;21-11-2023
114;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;08-11-2023;;
115;Airstrike;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;08-11-2023;09-11-2023;29-11-2023
116;Strike;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;08-11-2023;;
117;Shelling;Violence with heavy weapons, fire or chemical agent;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;08-11-2023;;
118;Lack of fuel/medical supply;Obstruction to healthcare delivery;Al Quds Hospital;Gaza City;08-11-2023;;
119;Shelling;Violence with heavy weapons, fire or chemical agent;Patient Friends Association Hospital;Gaza City;09-11-2023;13-11-2023;30-12-2023
